date,hour,location,temperature,humidity,wind_speed,green_ratio,building_density,ndvi,uhi_intensity
2024-06-01,0,市中心商业区,28.38,71.5,3.7,0.1,0.85,-0.027,3.93
2024-06-01,0,居民区A,27.75,72.6,2.1,0.35,0.6,0.196,1.86
2024-06-01,0,居民区B,26.12,73.0,1.0,0.25,0.65,0.048,1.83
2024-06-01,0,公园绿地,22.68,77.3,1.8,0.75,0.05,0.458,-0.56
2024-06-01,0,工业区,27.31,71.0,1.4,0.05,0.7,-0.076,3.03
2024-06-01,0,郊区对照点,23.57,76.4,2.0,0.55,0.15,0.331,0.0
2024-06-01,0,大学城,25.51,78.5,2.5,0.4,0.45,0.188,1.75
2024-06-01,0,滨水区域,22.51,77.2,0.9,0.6,0.2,0.34,-0.94
2024-06-01,1,市中心商业区,29.25,69.0,2.4,0.1,0.85,-0.029,3.56
2024-06-01,1,居民区A,26.08,70.9,3.3,0.35,0.6,0.19,1.47
2024-06-01,1,居民区B,26.92,70.1,2.0,0.25,0.65,0.118,2.31
2024-06-01,1,公园绿地,24.41,71.8,2.3,0.75,0.05,0.51,-0.71
2024-06-01,1,工业区,27.28,70.3,1.6,0.05,0.7,-0.096,3.24
2024-06-01,1,郊区对照点,25.75,72.5,3.3,0.55,0.15,0.351,0.0
2024-06-01,1,大学城,25.64,73.9,3.7,0.4,0.45,0.219,1.97
2024-06-01,1,滨水区域,21.56,80.2,2.6,0.6,0.2,0.371,-0.97
2024-06-01,2,市中心商业区,27.57,69.9,2.8,0.1,0.85,0.024,3.84
2024-06-01,2,居民区A,26.51,70.3,3.2,0.35,0.6,0.19,1.84
2024-06-01,2,居民区B,27.57,70.8,3.3,0.25,0.65,0.079,1.9
2024-06-01,2,公园绿地,23.85,70.6,2.7,0.75,0.05,0.508,-1.0
2024-06-01,2,工业区,27.97,65.8,2.2,0.05,0.7,-0.07,2.76
2024-06-01,2,郊区对照点,25.03,74.8,4.0,0.55,0.15,0.345,0.0
2024-06-01,2,大学城,26.87,71.1,1.0,0.4,0.45,0.219,1.52
2024-06-01,2,滨水区域,26.13,71.7,2.7,0.6,0.2,0.379,-1.35
2024-06-01,3,市中心商业区,30.87,68.8,3.1,0.1,0.85,-0.047,4.42
2024-06-01,3,居民区A,26.83,73.2,4.3,0.35,0.6,0.15,1.83
2024-06-01,3,居民区B,28.03,68.4,1.3,0.25,0.65,0.102,1.68
2024-06-01,3,公园绿地,25.33,70.4,3.7,0.75,0.05,0.477,-1.1
2024-06-01,3,工业区,29.61,64.4,2.7,0.05,0.7,-0.021,2.52
2024-06-01,3,郊区对照点,26.1,73.1,3.1,0.55,0.15,0.303,0.0
2024-06-01,3,大学城,26.4,73.5,2.7,0.4,0.45,0.228,1.6
2024-06-01,3,滨水区域,24.41,75.0,2.7,0.6,0.2,0.359,-0.44
2024-06-01,4,市中心商业区,31.37,62.4,3.0,0.1,0.85,-0.049,4.24
2024-06-01,4,居民区A,29.92,65.2,3.3,0.35,0.6,0.192,2.25
2024-06-01,4,居民区B,30.51,66.3,1.9,0.25,0.65,0.073,1.76
2024-06-01,4,公园绿地,25.93,73.5,2.7,0.75,0.05,0.525,-1.0
2024-06-01,4,工业区,31.15,65.4,4.7,0.05,0.7,-0.041,2.74
2024-06-01,4,郊区对照点,26.13,73.7,2.3,0.55,0.15,0.361,0.0
2024-06-01,4,大学城,28.87,68.7,1.8,0.4,0.45,0.175,1.37
2024-06-01,4,滨水区域,26.68,72.2,1.5,0.6,0.2,0.385,-0.88
2024-06-01,5,市中心商业区,31.49,66.3,2.5,0.1,0.85,-0.054,4.11
2024-06-01,5,居民区A,30.64,70.1,3.3,0.35,0.6,0.139,1.72
2024-06-01,5,居民区B,30.61,68.4,2.9,0.25,0.65,0.216,2.17
2024-06-01,5,公园绿地,28.1,72.7,3.0,0.75,0.05,0.491,-0.77
2024-06-01,5,工业区,30.58,66.2,2.1,0.05,0.7,-0.058,3.69
2024-06-01,5,郊区对照点,26.7,73.6,1.2,0.55,0.15,0.326,0.0
2024-06-01,5,大学城,30.57,67.1,1.6,0.4,0.45,0.199,1.7
2024-06-01,5,滨水区域,26.61,72.3,2.5,0.6,0.2,0.36,-0.36
2024-06-01,6,市中心商业区,34.0,56.7,2.6,0.1,0.85,-0.04,4.26
2024-06-01,6,居民区A,30.86,66.2,2.9,0.35,0.6,0.206,1.64
2024-06-01,6,居民区B,31.22,64.7,2.0,0.25,0.65,0.153,2.12
2024-06-01,6,公园绿地,27.48,73.4,4.2,0.75,0.05,0.531,-1.46
2024-06-01,6,工业区,32.1,68.9,1.9,0.05,0.7,-0.047,3.23
2024-06-01,6,郊区对照点,28.75,68.9,-0.1,0.55,0.15,0.309,0.0
